Date,Open Price,High Price,Low Price,Last Traded Price,Close Price,Total Traded Quantity,Turnover (in Lakhs)
2010-06-29,518.24,518.24,505.51,507.41,507.06,6839968.66,34884.41
2010-06-28,510.17,518.72,505.96,517.29,517.84,15145087.92,77903.8
2010-06-25,498.77,507.32,495.44,506.61,504.92,9780884.3,48990.86
2010-06-24,503.04,506.27,497.48,499.29,499.74,9049361.6,45444.15
2010-06-23,503.37,507.08,500.67,502.64,502.9,5610569.38,28252.06
2010-06-22,504.94,510.55,502.07,505.2,505.32,6211929.38,31409.02
2010-06-21,503.99,509.07,503.99,505.84,506.2,5674914.94,28765.73
2010-06-18,513.11,517.67,499.03,499.34,500.83,18419888.96,93647.42
2010-06-17,505.08,511.59,502.71,509.29,508.93,10128504.04,51410.68
2010-06-16,508.27,509.52,501.19,502.11,502.54,5694242.82,28716.88
2010-06-15,505.99,508.22,498.81,505.66,506.41,9139624.34,46100.73
2010-06-14,501.09,508.27,498.34,505.11,505.18,7647918.7,38535.03
2010-06-11,486.89,499.17,484.99,496.41,497.06,11215694.68,55431.96
2010-06-10,479.77,483.3,478.41,482.45,482.31,6719151.0,32343.31
2010-06-09,475.11,482.14,475.02,478.82,478.37,7334902.18,35119.64
2010-06-08,479.62,481.05,472.69,473.23,473.3,7327308.72,34928.26
2010-06-07,482.14,482.14,475.02,478.91,478.7,6498018.24,31092.07
2010-06-04,489.74,492.11,485.68,489.6,489.84,6779357.74,33182.01
2010-06-03,484.47,493.06,484.47,488.89,489.65,8232112.88,40313.18
2010-06-02,482.14,484.99,476.61,480.2,480.27,9493515.48,45677.61
2010-06-01,495.58,496.39,476.97,480.0,480.03,9367380.06,45307.08
2010-05-31,489.34,498.06,488.67,497.1,496.68,7963524.62,39371.56
2010-05-28,489.24,493.54,481.9,491.66,492.43,8438231.32,41330.61
2010-05-27,480.24,488.17,475.78,486.68,485.58,13187725.84,63767.32
2010-05-26,472.59,479.77,470.74,478.43,478.84,6605421.54,31464.42
2010-05-25,486.89,486.89,466.82,468.55,468.2,12148704.38,57480.61
2010-05-24,483.57,498.27,482.83,485.01,485.78,11898650.32,58247.03
2010-05-21,470.22,474.95,463.66,472.95,472.9,9223630.42,43309.79
2010-05-20,475.49,481.19,472.05,474.99,474.99,8939653.08,42608.59
2010-05-19,483.09,483.45,472.69,473.73,474.37,12558480.3,59908.62
2010-05-18,484.52,490.91,478.72,485.23,484.8,7432446.82,36070.54
2010-05-17,491.5,491.5,479.29,481.81,482.88,9918697.28,47838.14
2010-05-14,507.17,508.74,491.64,492.59,495.75,8739667.12,43827.53
2010-05-13,504.47,519.38,504.47,509.69,509.12,5749403.38,29507.37
2010-05-12,511.14,517.5,505.44,513.26,514.42,7359836.22,37648.39
2010-05-11,517.29,517.29,505.11,506.53,507.22,12668201.42,64670.9
2010-05-10,499.24,513.97,494.01,513.4,512.73,18310609.9,92852.34
2010-05-07,460.48,500.1,460.48,490.67,487.27,34914715.34,170072.73
2010-05-06,481.14,482.79,473.68,475.1,475.5,11561794.74,55163.89
2010-05-05,476.51,482.91,473.35,481.94,481.54,7256119.2,34765.79
2010-05-04,483.21,490.19,478.17,480.85,481.77,8405451.84,40672.16
2010-05-03,484.06,487.18,480.33,483.1,483.0,6073301.6,29367.29
2010-04-30,490.67,494.06,485.95,486.68,487.65,7665253.44,37462.03
2010-04-29,483.12,490.62,480.83,488.97,488.33,11360047.72,55170.38
2010-04-28,497.25,497.25,477.46,480.57,479.93,19433358.64,94596.38
2010-04-27,501.52,503.88,497.74,500.57,500.69,6768533.3,33857.69
2010-04-26,509.54,517.94,501.76,504.23,505.41,8067935.72,40854.87
2010-04-23,509.54,517.09,509.54,513.31,513.41,11257392.68,57848.81
2010-04-22,495.62,516.1,495.41,507.58,507.54,12402350.52,62839.88
2010-04-21,504.82,506.57,494.51,498.08,497.32,9296330.42,46435.73
2010-04-20,504.75,509.42,497.44,503.88,501.61,8114640.44,40842.43
2010-04-19,509.45,509.45,495.86,500.51,500.96,7940530.48,39804.45
2010-04-16,512.42,516.61,505.36,511.71,511.54,8814823.46,45072.63
2010-04-15,530.77,535.44,512.86,515.29,514.59,11766964.88,61551.45
2010-04-13,532.18,535.02,524.31,528.62,528.83,6769058.96,35794.42
2010-04-12,540.2,540.2,529.66,531.78,531.88,6153020.76,32798.4
2010-04-09,522.84,533.6,522.84,530.77,530.63,8152415.42,43204.03
2010-04-08,534.54,536.2,519.68,521.33,522.07,7133472.38,37633.64
2010-04-07,530.77,542.43,529.87,534.07,532.99,9795860.1,52396.13
2010-04-06,532.18,534.54,528.51,529.78,529.92,6047425.9,32093.61
2010-04-05,517.33,532.97,517.33,532.14,531.19,9647778.48,50764.64
2010-04-01,508.59,518.27,508.12,514.17,515.22,6065904.3,31183.62
2010-03-31,515.62,516.61,505.43,506.95,506.83,10488272.78,53348.66
2010-03-30,517.09,521.67,510.95,511.9,513.38,9175809.56,47453.76
2010-03-29,520.72,523.67,514.73,516.29,515.81,9810981.12,50997.02
2010-03-26,517.56,524.16,516.69,517.47,519.19,8757552.68,45623.82
2010-03-25,517.09,517.56,508.31,514.35,514.94,11127897.56,57112.37
2010-03-23,508.57,516.12,508.1,514.89,514.92,9692647.64,49690.28
2010-03-22,501.05,518.5,501.05,505.88,506.68,9916940.56,50846.64
2010-03-19,508.98,517.33,504.89,515.53,515.22,9562900.28,48901.19
